Path,run_date,run_time
/Volumes/seagate_5/pictures,2026-03-28,08:20
/Users/douglasgarrett/Documents/pictures,2026-03-28,14:57
/Volumes/T7,2026-03-28,14:57
/Volumes/My Passport/photos,2026-03-28,08:09
/Volumes/My Passport/pictures,2026-03-28,08:09
/Volumes/My Passport/_acer_swift_backup,2026-03-28,08:09
/Volumes/Seagate Backup Plus Drive/_surface pro backup/2017-08-19_android,2026-03-28,08:31
/Volumes/Seagate Backup Plus Drive/photos,2026-03-28,08:31
/Volumes/Seagate Backup Plus Drive/pictures,2026-03-28,08:31
/Volumes/Seagate Backup Plus Drive/travel/2017-11_cruises,2026-03-28,08:31
/home/dgarrett/Documents/pictures,2026-03-28,09:20
